Student Name,Student ID,Email,Attendance,Average Grade,Behavioral Score,Risk Score,Age,Gender,Scholarship,Debt,Tuition Up To Date,Courses Enrolled,Courses Passed
Student STU0001,STU0001,stu0001@example.com,78.1,80.5,8,15,25,Male,No,Yes,Yes,5,5
Student STU0002,STU0002,stu0002@example.com,78.5,79.2,8,15,25,Female,No,No,Yes,6,6
Student STU0003,STU0003,stu0003@example.com,94.0,82.3,8,15,18,Male,Yes,No,Yes,4,4
Student STU0004,STU0004,stu0004@example.com,0.0,41.1,8,95,24,Male,Yes,No,No,3,1
Student STU0005,STU0005,stu0005@example.com,59.8,83.6,8,15,24,Male,No,No,Yes,5,4
Student STU0006,STU0006,stu0006@example.com,82.7,77.4,8,15,24,Female,No,No,Yes,7,7
Student STU0007,STU0007,stu0007@example.com,31.0,25.2,8,95,25,Female,No,No,Yes,6,3
Student STU0008,STU0008,stu0008@example.com,82.3,78.8,8,15,18,Female,No,Yes,Yes,6,5
Student STU0009,STU0009,stu0009@example.com,73.1,91.0,8,15,24,Male,Yes,No,Yes,6,6
Student STU0010,STU0010,stu0010@example.com,73.9,63.6,8,15,18,Female,No,No,Yes,4,4
Student STU0011,STU0011,stu0011@example.com,10.4,20.6,8,95,21,Male,No,No,No,3,0
Student STU0012,STU0012,stu0012@example.com,70.6,73.3,8,15,22,Female,Yes,No,Yes,6,6
Student STU0013,STU0013,stu0013@example.com,82.4,68.8,8,15,18,Male,Yes,No,Yes,7,6
Student STU0014,STU0014,stu0014@example.com,80.9,76.1,8,15,24,Male,Yes,No,Yes,5,5
Student STU0015,STU0015,stu0015@example.com,61.0,91.6,8,15,25,Female,Yes,No,No,4,3
Student STU0016,STU0016,stu0016@example.com,76.9,91.1,8,15,23,Female,Yes,No,Yes,7,6
Student STU0017,STU0017,stu0017@example.com,25.1,34.7,8,95,23,Female,No,Yes,No,5,0
Student STU0018,STU0018,stu0018@example.com,68.3,76.9,8,15,20,Male,No,No,Yes,6,6
Student STU0019,STU0019,stu0019@example.com,85.4,84.3,8,15,23,Male,Yes,No,Yes,4,4
Student STU0020,STU0020,stu0020@example.com,60.5,68.0,8,15,18,Female,No,No,Yes,5,5
